"Date","Approve","Disapprove"
2017-08-08,37.3666666666667,58.675
2017-08-09,39,55.2
2017-08-10,40,55.5
2017-08-11,39.1666666666667,56.9916666666667
2017-08-12,40.5,55.5
2017-08-13,36,59
2017-08-14,38.5,58
2017-08-15,38.2714285714286,55.4285714285714
2017-08-16,38,54.4285714285714
2017-08-17,40,56.25
2017-08-18,37.8727272727273,58.0636363636364
2017-08-20,36.5,57.5
2017-08-21,36.2,58.6
2017-08-22,36.98,58.72
2017-08-23,38.4285714285714,55.5714285714286
2017-08-24,39.3333333333333,57
2017-08-25,38.1181818181818,58.6272727272727
2017-08-26,35,60
2017-08-27,35,60
2017-08-28,38.5,58.5
2017-08-29,36.8090909090909,59.0181818181818
2017-08-30,39.1666666666667,55.8333333333333
2017-08-31,38,59
2017-09-01,38.33,58.36
2017-09-02,34,61
2017-09-03,36,58
2017-09-04,40.5,55.5
2017-09-05,39.5545454545455,56.8454545454545
2017-09-06,41.25,53.75
2017-09-07,39.75,55.75
2017-09-08,41.22,55.35
2017-09-09,38,56
2017-09-10,38,56
2017-09-11,41,56
2017-09-12,39.23,56.25
2017-09-13,40.4,53.8
2017-09-14,41.3333333333333,54.3333333333333
2017-09-15,38.7083333333333,56.0583333333333
2017-09-16,36,59
2017-09-17,39.5,54
2017-09-18,40.6666666666667,54
2017-09-19,39.7,55.88
2017-09-20,41.1428571428571,51.4285714285714
2017-09-21,40.75,54.5
2017-09-22,40.3727272727273,55.3181818181818
2017-09-23,37,56
2017-09-24,40.3333333333333,55
2017-09-25,41.8,55
2017-09-26,38.8272727272727,56.0181818181818
2017-09-27,39.1666666666667,55.3333333333333
2017-09-28,41,55.5
2017-09-29,39.79,56.76
2017-09-30,37,58
2017-10-01,38,57
2017-10-02,39.5,57
2017-10-03,39.87,56.9
2017-10-04,40.7142857142857,54.4285714285714
2017-10-05,40.9285714285714,55.4428571428571
2017-10-06,38.0666666666667,58.7
2017-10-07,39,56
2017-10-08,38,57
2017-10-09,40.5,55.5
2017-10-10,38.6233333333333,52.725
2017-10-11,39.5,54.3333333333333
2017-10-12,41.25,56.25
2017-10-13,37.94,58.13
2017-10-14,36.51,55.19
2017-10-15,38,56
2017-10-16,41.0333333333333,55
2017-10-17,37.5222222222222,58.4666666666667
2017-10-18,40.2,54.2
2017-10-19,38.6666666666667,57.1666666666667
2017-10-20,38.225,58.4625
2017-10-21,36,59
2017-10-22,36,58
2017-10-23,37.348,57.476
2017-10-24,37.33,58.68
2017-10-25,39.3333333333333,55.6666666666667
2017-10-26,40.8,56.6
2017-10-27,36.7911111111111,58.2311111111111
2017-10-28,36,59
2017-10-29,36.5,59
